Date,Open,High,Low,Close,Adj Close,Volume,US Overdose Deaths
2020-01-06,88.22000122070312,89.62000274658203,87.9800033569336,89.4000015258789,74.07334899902344,6786600,3
2020-01-07,88.93000030517578,89.54000091552734,88.26000213623047,88.88999938964844,73.65077209472656,7242500,4
2020-01-08,89.1500015258789,90.05999755859375,88.87000274658203,89.5199966430664,74.17276763916016,7696800,3
2020-01-09,90.01000213623047,90.2300033569336,89.05000305175781,90.20999908447266,74.7444839477539,7518000,4
2020-01-10,90.2300033569336,90.29000091552734,88.83000183105469,89.05999755859375,73.7916259765625,8581400,3
2020-01-13,89.5,89.5,87.91999816894531,88.5199966430664,73.34420776367188,9292200,1
2020-01-14,87.0999984741211,88.44000244140625,86.7699966430664,88.19999694824219,74.06640625,8876900,4
2020-01-15,88.18000030517578,89.87999725341797,88.18000030517578,89.26000213623047,74.95654296875,8490100,2
2020-01-16,89.30999755859375,89.80000305175781,88.91999816894531,89.26000213623047,74.95654296875,7073200,2
2020-01-17,89.12999725341797,89.2699966430664,87.79000091552734,88.0,73.8984603881836,10122300,1
2020-01-21,87.68000030517578,88.52999877929688,87.56999969482422,87.98999786376953,73.89004516601562,13552000,1
2020-01-22,88.02999877929688,88.16999816894531,87.1500015258789,87.20999908447266,73.23503875732422,6438900,3
2020-01-23,87.05000305175781,87.06999969482422,84.98999786376953,85.2699966430664,71.60591888427734,12266800,3
2020-01-24,85.43000030517578,85.4800033569336,82.76000213623047,83.54000091552734,70.15312957763672,13215400,3
2020-01-27,85.05000305175781,85.93000030517578,84.0,84.0199966430664,70.55622863769531,13832000,4
2020-01-28,84.98999786376953,84.98999786376953,83.63999938964844,83.7699966430664,70.34628295898438,8614400,2
2020-01-29,83.80000305175781,84.0,83.12999725341797,83.19999694824219,69.86762237548828,5703200,5
2020-01-30,82.58000183105469,82.79000091552734,81.18000030517578,81.77999877929688,68.6751708984375,10870000,2
2020-01-31,81.54000091552734,81.72000122070312,80.41000366210938,81.0199966430664,68.0369644165039,13870100,8
2020-02-03,81.30999755859375,82.5999984741211,80.91999816894531,82.30000305175781,69.11184692382812,10143700,6
2020-02-04,83.58999633789062,84.70999908447266,83.58999633789062,84.36000061035156,70.84173583984375,8251500,4
2020-02-05,85.05999755859375,87.13999938964844,84.87999725341797,86.62999725341797,72.74797821044922,10020600,2
2020-02-06,87.88999938964844,87.95999908447266,86.22000122070312,87.18000030517578,73.20984649658203,7769700,2
2020-02-07,89.73999786376953,92.9800033569336,88.87999725341797,92.29000091552734,77.5009994506836,19090300,1
2020-02-10,92.36000061035156,95.5,92.11000061035156,94.75,79.56680297851562,13998300,1
2020-02-11,95.26000213623048,97.08000183105467,95.01000213623048,96.0,80.61648559570312,10682800,2
2020-02-12,95.9800033569336,97.86000061035156,95.70999908447266,97.79000091552734,82.1196517944336,10591000,2
2020-02-13,96.8499984741211,97.36000061035156,95.2300033569336,95.3499984741211,80.07064056396484,10613000,1
2020-02-14,95.2300033569336,95.3000030517578,93.7699966430664,94.0500030517578,78.9789810180664,11175800,5
2020-02-18,93.66999816894533,94.5,93.26000213623048,93.61000061035156,78.60948181152344,9406300,5
2020-02-19,93.7699966430664,94.79000091552734,93.0199966430664,94.13999938964844,79.05455780029297,6349100,5
2020-02-21,93.95999908447266,95.5199966430664,93.37999725341795,94.95999908447266,79.7431411743164,6676000,4
2020-02-24,92.16999816894533,93.87000274658205,92.1500015258789,93.13999938964844,78.21479034423828,10705100,4
2020-02-25,93.31999969482422,93.45999908447266,88.11000061035156,89.18000030517578,74.88936614990234,11366400,3
2020-02-26,88.62000274658203,91.18000030517578,88.19000244140625,88.41000366210938,74.24275970458984,9786900,3
2020-02-27,86.19000244140625,89.44999694824219,84.19999694824219,85.41999816894531,71.73187255859375,14184100,4
2020-02-28,82.79000091552734,85.70999908447266,81.58000183105469,85.70999908447266,71.97540283203125,18450000,5
2020-03-02,86.0,88.77999877929688,83.55000305175781,88.69000244140625,74.47785949707031,12171100,3
2020-03-03,89.44000244140625,90.9000015258789,85.66000366210938,87.56999969482422,73.53736114501953,12660900,4
2020-03-04,89.2699966430664,91.86000061035156,88.94999694824219,91.75,77.04753875732422,16590400,4
2020-03-05,90.05999755859375,91.70999908447266,89.43000030517578,90.61000061035156,76.0902099609375,9688400,4
2020-03-06,88.7300033569336,89.76000213623047,87.26000213623047,88.81999969482422,74.5870361328125,12664600,3
2020-03-09,84.0,87.33999633789062,82.43000030517578,85.2699966430664,71.60591888427734,15806200,2
2020-03-10,88.19000244140625,88.22000122070312,83.76000213623047,87.52999877929688,73.5037612915039,12965800,4
2020-03-11,85.80000305175781,86.63999938964844,83.56999969482422,84.8499984741211,71.25321960449219,10382200,2
2020-03-12,78.8499984741211,81.29000091552734,77.05999755859375,78.61000061035156,66.01316833496094,19935700,4
2020-03-13,83.36000061035156,86.31999969482422,80.69000244140625,85.37000274658203,71.68989562988281,21867700,3
2020-03-16,79.0,82.18000030517578,73.58000183105469,74.2699966430664,62.36860656738281,20916000,2
2020-03-17,75.70999908447266,77.70999908447266,69.98999786376953,73.0199966430664,61.31892013549805,23205000,4
2020-03-18,70.0,71.38999938964844,64.69000244140625,71.02999877929688,59.64780044555664,23712800,4
